,,,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
data_prop,6,,2,2,0,5,9,1,1,4,1,2,49,0,0,0.909090909,0.75,1,1,23.5,1,0.5,1
data_prop,7,,3,1,0,1,3,3,1,0,3,2,3,0,0,0,1,0,0,0,1,1,0
data_prop,8,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,9,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,10,,23,1,0,10,23,253,2,8,23,2,23,0,0,0,0.255434783,0,0,0,1,1,0
data_prop,11,,13,1,0,3,18,26,3,0,13,0.75,134,1,0,0,0.512820513,0,0,8.923076923,1,0.8462,0
data_prop,12,,12,1,0,8,45,0,4,5,10,0.651515152,234,1,1,0,0.309090909,0,0,18,3,1.5833,1
data_prop,13,,29,1,0,23,48,274,22,1,23,0.876984127,459,1,0,0,0.310344828,0,0,14.51724138,3,1.1724,0
data_prop,14,,3,2,0,8,14,3,1,7,3,2,55,0,0,0.75,0.555555556,0,0,17.33333333,2,1,0
data_prop,15,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,16,,2,2,0,7,6,1,6,1,2,2,16,0,0,0.923076923,1,0,0,7,1,0.5,0
data_prop,17,,5,1,0,16,53,8,1,15,2,1.232758621,364,1,0,0,0.52,0,0,66,8,3.2,0
data_prop,18,,27,1,0,59,45,221,55,5,27,0.91958042,333,0.727272727,3,0,0.162962963,1,1,10.92592593,7,1.2963,0
data_prop,19,,3,1,15,17,5,1,15,2,3,0.5,17,1,0,0,0.666666667,0,0,4.333333333,1,0.6667,0
data_prop,20,,20,1,0,23,94,126,0,23,11,0.885964912,771,1,5,0,0.20242915,0,0,37.25,9,2.5,1
data_prop,21,,7,1,0,25,41,3,16,9,3,0.666666667,261,1,1,0,0.333333333,0,0,35.71428571,4,1.5714,0
data_prop,22,,2,2,0,5,9,1,1,4,1,2,69,1,0,0.909090909,0.75,2,2,32,7,3.5,0
data_prop,23,,1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,0
data_prop,24,,2,1,0,3,7,1,2,1,1,2,32,0,0,0,0.5,0,0,15,2,1,0
data_prop,25,,3,2,0,8,14,3,1,7,3,2,55,0,0,0.75,0.555555556,0,0,17.33333333,2,1,0
data_prop,26,,10,1,0,6,18,21,3,3,10,0.666666667,174,1,0,0,0.533333333,0,0,16,19,2.7,0
data_prop,27,,5,1,0,8,5,10,3,5,5,2,5,0,0,0,0.433333333,0,0,0,1,1,0
data_prop,28,,2,1,0,4,14,0,1,3,2,0,78,1,0,0,0.666666667,0,0,37.5,3,1.5,0
data_prop,29,,9,1,0,18,17,16,16,2,9,525,112,1,1,0,0.472222222,0,0,10.88888889,2,0.7778,0
data_prop,30,,6,2,0,10,9,9,10,0,4,0.857142857,91,0.428571429,5,0.764705882,0.4,1,1,13,1,0.6667,0
data_prop,31,,16,1,0,15,50,68,0,15,12,0.816666667,365,1,7,0,0.2,0,0,21.3125,4,1.4375,0
data_prop,32,,6,2,0,11,43,1,0,11,2,1,243,1,1,0.75,0.44,2,2,37.83333333,4,1.8333,0
data_prop,33,,5,2,0,31,8,6,30,1,3,875,79,0.333333333,5,0.8125,0.416666667,1,1,13.6,1,0.6,0
data_prop,34,,10,1,0,1,14,21,0,1,10,0.740740741,109,1,1,0,0.32,1,1,9.6,7,1.5,0
data_prop,35,,1,1,0,0,2,0,0,0,1,2,7,0,0,0,1,0,0,3,0,0,0
data_prop,36,,2,1,0,2,2,1,2,0,2,2,2,0,0,0,875,0,0,0,1,1,0
data_prop,37,,14,2,0,7,17,91,0,7,14,2,54,0,0,0.566666667,1,1,4,2.857142857,1,0.9286,0
data_prop,38,,16,1,0,5,41,0,2,4,14,775,254,0.75,1,0,0.257142857,0,0,14375,3,1.5625,1
data_prop,39,,11,1,0,12,11,55,7,5,11,2,11,0,0,0,0.337662338,0,0,0,1,1,0
data_prop,40,,7,1,15,20,10,11,15,5,5,0.777777778,39,1,2,0,0.476190476,0,0,4.142857143,1,0.8571,0
data_prop,41,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,42,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,43,,12,1,0,15,42,16,0,15,10,0.757575758,354,1,5,0,0.242424242,0,0,28,4,1.5,0
data_prop,44,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,45,,8,1,0,17,60,10,1,16,2,0.732142857,495,1,3,0,0.2875,0,0,59875,3,1.25,0
data_prop,46,,2,1,0,0,10,1,0,0,2,2,45,0,0,0,0.5,0,0,21.5,4,2,0
data_prop,47,,21,1,6,39,76,182,8,31,4,0.95625,495,1,4,0,0.111111111,0,0,21.80952381,2,1.0952,0
data_prop,48,,5,4,2,11,8,8,11,0,4,1,26,1,0,0.894736842,0.6,0,0,3.8,1,0.4,0
data_prop,49,,2,4,0,15,43,0,1,14,2,0.666666667,402,1,0,0.996168582,0.555555556,2,3,198.5,17,8.5,0
data_prop,50,,2,2,0,5,9,1,1,4,1,2,29,0,0,0.909090909,0.75,1,2,13.5,1,0.5,0
data_prop,51,,2,1,0,3,9,1,0,3,1,1,26,0,1,0,1,0,0,11.5,0,0,0
data_prop,52,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,53,,4,1,0,0,8,0,0,0,4,0.333333333,23,1,0,0,625,0,0,4.5,1,0.75,0
data_prop,54,,3,2,0,8,14,3,1,7,3,2,54,0,0,0.75,0.555555556,0,0,17,2,1,0
data_prop,55,,13,2,0,9,19,78,0,9,13,2,57,0,0,0.586206897,1,1,3,3.384615385,1,0.9231,0
data_prop,56,,16,1,0,20,65,88,0,20,9,0.857142857,367,1,6,0,0.158974359,0,0,21.5,5,1.4375,0
data_prop,57,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,58,,1,1,0,0,2,0,0,0,1,2,77,0,0,0,1,0,0,3,0,0,0
data_prop,59,,3,5,0,16,6,3,15,1,2,1.5,16,1,0,1,0.666666667,0,0,4,0,0,0
data_prop,60,,7,2,0,7,17,21,1,7,7,2,73,0,0,0.25,0.428571429,0,0,9.428571429,2,1,0
data_prop,61,,29,1,0,14,46,260,10,4,28,0.89010989,443,1,3,0,0.183908046,1,1,13.82758621,8,1.4138,0
data_prop,62,,3,2,0,9,14,3,2,7,3,2,67,0,0,0.75,0.555555556,0,0,21.33333333,3,1.3333,0
data_prop,63,,4,1,0,9,28,4,1,9,2,1.274509804,223,1,0,0,0.5,0,0,50.5,5,1.75,0
data_prop,64,,3,2,0,8,15,3,1,7,3,2,63,0,0,0.75,0.5,0,0,20,2,1,0
data_prop,65,,11,1,0,8,11,55,3,5,11,2,11,0,0,0,0.348484848,0,0,0,1,1,0
data_prop,66,,1,1,0,0,2,0,0,0,1,2,38,0,0,0,1,0,0,3,0,0,1
data_prop,67,,11,1,0,2,12,31,2,0,10,0.86,64,1,0,0,0.681818182,0,0,4.363636364,1,0.8182,0
data_prop,68,,6,2,0,32,14,11,31,1,4,0.857142857,129,0.285714286,6,0.764705882,0.4,1,1,19.33333333,3,1,1
data_prop,69,,18,1,0,21,35,95,17,5,17,0.909090909,235,1,3,0,0.180555556,1,1,11.44444444,7,1.3889,0
data_prop,70,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,71,,3,2,0,7,14,3,1,6,3,2,46,0,0,0.75,0.5,0,0,14.33333333,1,0.6667,0
data_prop,72,,7,2,0,13,39,9,0,13,1,1.0625,366,1,4,0.705882353,0.533333333,1,1,47.85714286,4,1.5714,0
data_prop,73,,11,1,0,18,49,51,1,17,4,1.076923077,350,1,1,0,0.4,0,0,28.45454545,3,1.4545,1
data_prop,74,,37,1,0,40,60,492,38,6,25,0.840277778,441,1,2,0,0.148648649,1,1,10.7027027,7,1.4865,1
data_prop,75,,10,1,0,3,14,0,3,0,9,0.694444444,164,1,0,0,0.5,1,1,15,13,2.3,1
data_prop,76,,24,4,0,13,49,276,0,13,24,1.043478261,189,1,0,0.629032258,0.25,0,0,6.833333333,1,0.9583,0
data_prop,77,,4,1,0,6,15,0,1,5,3,0.666666667,68,1,1,0,0.555555556,0,0,15.25,3,1,0
data_prop,78,,2,2,0,4,10,1,0,4,2,2,30,0,0,0.666666667,0.75,0,0,14,2,1,0
data_prop,79,,6,2,0,4,14,11,3,1,4,875,141,0.25,7,0.764705882,0.4,1,1,21.16666667,3,1,0
data_prop,80,,3,2,0,8,14,3,1,7,3,2,52,0,0,0.75,0.555555556,0,0,16.33333333,2,1,0
data_prop,81,,2,2,0,5,13,1,1,4,1,2,76,0,0,0.909090909,0.75,2,2,37,5,2.5,0
data_prop,82,,5,1,0,8,5,10,7,1,5,2,5,0,0,0,0.44,0,0,0,1,1,0
data_prop,83,,13,2,0,9,19,78,0,9,13,2,81,0,0,0.586206897,1,1,3,5.230769231,1,0.9231,1
data_prop,84,,4,2,0,7,25,2,1,7,1,1.142857143,91,1,1,0.857142857,0.416666667,1,1,20,1,0.5,0
data_prop,85,,3,2,0,8,14,3,1,7,3,2,103,0,0,0.75,0.555555556,0,0,33.33333333,5,2,0
data_prop,86,,4,1,0,28,4,6,25,3,4,2,4,0,0,0,0.7,0,0,0,1,1,0
data_prop,87,,2,2,0,8,12,1,0,8,2,1,59,1,0,0.833333333,1,0,0,25,1,0.5,0
data_prop,88,,3,1,0,5,17,0,0,5,3,0.5,94,1,0,0,0.666666667,0,0,29.66666667,1,0.6667,0
data_prop,89,,6,1,0,9,6,15,7,2,6,2,6,0,0,0,0.466666667,0,0,0,1,1,0
data_prop,90,,5,1,0,7,5,10,5,2,5,2,5,0,0,0,0.44,0,0,0,1,1,0
data_prop,91,,4,1,0,4,5,0,4,0,3,0.833333333,22,1,0,0,0.75,0,0,4,1,0.5,0
data_prop,92,,6,2,0,2,14,11,1,1,4,0.666666667,81,0.666666667,2,0.764705882,0.4,1,1,12,3,1,0
data_prop,93,,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
data_prop,94,,3,1,0,2,13,3,2,0,1,2,90,0,0,0,0.444444444,0,0,29,6,2.6667,0
data_prop,95,,12,2,0,12,25,66,6,12,12,2,110,0,0,0.153846154,0.297619048,0,0,8.166666667,1,0.9167,1
data_prop,96,,9,2,0,10,20,36,4,10,9,2,77,0,0,0.2,0.301587302,0,0,7.555555556,1,0.8889,0
data_prop,97,,3,2,0,8,14,3,1,7,3,2,55,0,0,0.75,0.555555556,0,0,17.33333333,2,1,0
data_prop,98,,38,1,0,27,62,457,25,6,28,0.844594595,454,1,2,0,0.15,1,1,10.73684211,7,1.4737,0
data_prop,99,,9,1,0,3,13,4,3,0,9,625,90,1,0,0,0.722222222,0,0,8.666666667,1,0.7778,0
data_prop,100,,1,1,0,0,2,0,0,0,1,2,32,0,0,0,1,0,0,3,0,0,0
data_prop,101,,9,1,0,7,16,6,7,0,8,0.708333333,104,1,0,0,0.311111111,1,1,10.22222222,5,1.2222,0
data_prop,102,,14,2,0,8,19,91,0,8,14,2,86,0,0,0.566666667,1,1,4,5.142857143,1,0.9286,0
data_prop,103,,12,1,0,36,16,40,36,0,10,0.818181818,119,0.75,0,0,0.3,1,1,8.583333333,7,1.4167,0
data_prop,104,,13,2,0,9,19,78,0,9,13,2,81,0,0,0.586206897,1,1,3,5.230769231,1,0.9231,1
data_prop,105,,12,1,0,17,50,18,12,7,7,0.727272727,253,1,0,0,0.327272727,0,0,19.75,5,1.5833,0
data_prop,106,,4,1,0,8,21,0,1,7,2,1,168,1,1,0,0.4,0,0,39,3,1.5,0
data_prop,107,,6,1,0,2,7,3,2,0,5,0.8,35,1,0,0,0.555555556,0,0,4.333333333,1,0.6667,0
data_prop,108,,4,2,0,3,8,6,0,3,4,2,22,0,0,0.4,1,0,0,4.5,1,0.75,0
data_prop,109,,11,1,0,13,33,13,0,13,4,1,226,0.9,1,0,425,0,0,18.63636364,1,0.8182,0
data_prop,110,,6,2,0,18,41,7,1,17,2,0.666666667,216,1,0,0.791666667,0.366666667,1,3,34.5,5,2.3333,0
data_prop,111,,12,1,0,6,34,36,5,1,7,0.727272727,342,1,0,0,0.464285714,0,0,27.16666667,4,1.8333,0
data_prop,112,,35,1,0,34,141,383,0,34,32,0.892156863,684,1,8,0,0.111111111,0,0,18.28571429,6,1.3714,1
data_prop,113,,5,2,0,10,42,2,0,10,1,1125,262,1,1,0.8,0.5625,1,1,49,6,1.6,1
data_prop,114,,7,2,0,11,17,21,4,11,7,2,80,0,0,0.25,0.30952381,0,0,10.42857143,1,0.8571,0
data_prop,115,,11,1,0,9,11,55,7,2,11,2,11,0,0,0,0.311688312,0,0,0,1,1,1
data_prop,116,,6,1,0,7,33,11,1,6,3,1.085714286,169,1,0,0,0.6,0,0,26,5,1.6667,0
data_prop,117,,9,1,0,21,43,20,0,21,8,0.854166667,252,1,5,0,0.204545455,0,0,26.33333333,5,1.5556,0
data_prop,118,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,119,,2,3,0,3,19,1,0,3,2,2,91,1,0,0.961538462,1,1,2,44,5,2.5,0
data_prop,120,,4,2,0,5,9,6,0,5,4,2,38,0,0,0.4,0.4,0,0,8.5,1,0.75,0
data_prop,121,,3,5,0,9,6,3,8,1,2,1.5,16,1,0,1,0.666666667,0,0,4,0,0,0
data_prop,122,,5,1,0,11,37,0,1,10,2,0.5,234,1,2,0,0.366666667,0,0,45,4,2.2,0
data_prop,123,,16,1,0,22,27,76,21,2,15,0.783333333,171,1,2,0,0.260416667,1,1,9.4375,7,1.4375,0
data_prop,124,,8,1,0,6,14,2,6,0,7,0.785714286,99,1,0,0,0.3,1,1,10875,5,1.25,0
data_prop,125,,4,1,0,3,7,6,3,0,4,2,17,0,0,0,1,0,0,3.25,1,0.75,0
data_prop,126,,2,1,0,6,2,1,4,2,2,2,2,0,0,0,0.583333333,0,0,0,1,1,0
data_prop,127,,4,2,0,12,31,2,0,12,1,1,179,1,3,0.857142857,0.583333333,1,1,41,4,1.25,0
data_prop,128,,11,1,0,2,15,37,1,1,11,0.85,109,1,1,0,0.242424242,1,1,8.545454545,7,1.5455,0
data_prop,129,,8,2,0,20,52,18,1,19,2,0.785714286,360,1,0,0.730769231,325,1,3,43.5,6,2.5,0
data_prop,130,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,131,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,132,,2,2,0,4,5,1,1,3,1,2,11,0,0,0.909090909,0.75,1,1,4.5,1,0.5,0
data_prop,133,,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
data_prop,134,,6,2,0,12,37,7,0,12,1,1.122222222,302,1,1,0.75,0.52,1,1,46.33333333,2,0.8333,0
data_prop,135,,1,1,0,23,1,0,23,1,1,2,1,0,0,0,1,0,0,0,1,1,0
data_prop,136,,14,1,11,19,44,61,11,8,9,0.89010989,214,1,0,0,0.307692308,0,0,13.78571429,5,1.4286,0
data_prop,137,,10,1,0,8,21,0,8,0,10,0.666666667,140,1,0,0,0.34,0,0,12.6,2,0.8,0
data_prop,138,,14,2,0,7,17,91,0,7,14,2,54,0,0,0.566666667,1,1,4,2.857142857,1,0.9286,0
data_prop,139,,8,1,0,9,9,14,8,1,7,0.857142857,46,1,1,0,0.458333333,0,0,4.25,1,0.75,0
data_prop,140,,17,1,0,76,25,88,74,2,15,0.854166667,163,1,2,0,0.205882353,1,1,8.235294118,7,1.2941,0
data_prop,141,,7,1,0,5,7,21,3,2,7,2,7,0,0,0,0.5,0,0,0,1,1,0
data_prop,142,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
data_prop,143,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,144,,3,2,0,7,14,3,1,6,3,2,48,0,0,0.75,0.555555556,0,0,15,1,0.6667,0
data_prop,145,,1,1,0,0,2,0,0,0,0,2,13,0,0,0,1,0,0,3,0,0,1
data_prop,146,,19,1,0,31,135,115,0,31,16,0.833333333,798,1,8,0,0.136842105,0,0,40.52631579,13,2.3158,1
data_prop,147,,5,1,0,20,12,0,16,4,5,0,43,1,0,0,0.64,0,0,7.4,1,0.8,0
data_prop,148,,17,1,0,4,30,24,3,1,16,0.758928571,343,1,1,0,0.317647059,1,1,18.76470588,22,2.5882,0
data_prop,149,,8,1,0,6,8,28,5,1,8,2,8,0,0,0,0.4,0,0,0,1,1,0
data_prop,150,,1,1,0,0,2,0,0,0,1,2,11,0,0,0,1,0,0,3,0,0,0
data_prop,151,,13,2,0,9,19,78,0,9,13,2,57,0,0,0.586206897,1,1,3,3.384615385,1,0.9231,0
data_prop,152,,7,1,0,6,7,21,4,2,7,2,7,0,0,0,0.342857143,0,0,0,1,1,0
data_prop,153,,4,1,0,15,4,6,14,1,4,2,4,0,0,0,625,0,0,0,1,1,0
data_prop,154,,6,2,0,8,20,15,0,8,6,2,83,0,0,0.285714286,0.833333333,0,0,12.83333333,2,1.1667,0
data_prop,155,,3,3,0,3,4,1,2,1,3,1,15,1,0,0.964912281,0.666666667,0,0,3.333333333,1,0.6667,0
data_prop,156,,9,1,0,6,29,26,1,5,3,0.6875,200,1,2,0,0.291666667,0,0,20.77777778,3,1.6667,0
data_prop,157,,10,1,0,11,55,37,1,10,5,0.555555556,447,1,2,0,0.357142857,0,0,43.5,9,2.6,0
data_prop,158,,6,2,0,9,15,15,3,9,6,2,60,0,0,0.285714286,0.4,0,0,9,1,0.8333,0
data_prop,159,,3,1,0,16,30,0,1,15,2,0.166666667,178,1,3,0,0.5,0,0,57.33333333,9,3.6667,0
data_prop,160,,3,2,0,6,8,3,1,6,3,2,21,0,0,0.5,0.555555556,0,0,6,1,0.6667,0
data_prop,161,,4,2,0,10,28,2,0,10,1,1.148148148,153,1,1,0.857142857,0.583333333,1,1,35,3,1,0
data_prop,162,,15,1,0,23,27,51,23,1,15,0.767857143,169,1,0,0,0.32,1,1,10,7,1.4,0
data_prop,163,,5,1,0,27,15,10,26,1,4,2,89,0,0,0,0.266666667,0,0,16.8,3,1.2,0
data_prop,164,,4,2,0,10,23,2,0,10,1,1125,118,1,1,0.857142857,0.583333333,1,1,26.5,1,0.5,0
data_prop,165,,6,1,0,20,47,13,0,20,4,1.16,274,1,1,0,0.416666667,0,0,43,2,1.1667,0
data_prop,166,,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,1
data_prop,167,,4,1,0,0,5,0,0,0,4,1,23,0.333333333,0,0,0.75,0,0,4,1,0.5,0
data_prop,168,,15,1,0,7,19,83,6,1,15,0.904761905,129,1,1,0,0.20952381,1,1,7.2,7,1.4,0
data_prop,169,,6,2,0,22,37,13,2,21,2,0.6,157,1,0,0.791666667,0.366666667,1,3,25,4,1.8333,0
data_prop,170,,2,2,0,5,8,1,1,4,1,2,81,1,0,0.909090909,0.75,1,2,37.5,2,1,0
data_prop,171,,6,2,0,21,49,0,1,20,2,0.64,274,1,1,0.791666667,0.333333333,1,3,43.83333333,5,2.1667,1
data_prop,172,,33,1,0,27,66,270,22,5,33,0.869318182,509,1,3,0,0.151515152,0,0,14.09090909,4,1.0909,0
data_prop,173,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,174,,4,1,0,10,32,4,1,10,2,1.242424242,223,1,0,0,0.5,0,0,52,3,1.25,0
data_prop,175,,11,1,0,7,22,17,7,0,10,0.814285714,150,1,0,0,0.424242424,0,0,12,3,1,0
data_prop,176,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,177,,9,1,0,30,42,36,21,9,8,2,207,0,0,0,0.351851852,0,0,22,7,1.5556,0
data_prop,178,,8,1,0,8,8,28,6,2,8,2,8,0,0,0,0.53125,0,0,0,1,1,0
data_prop,179,,3,2,0,8,14,3,1,7,3,2,63,0,0,0.75,0.555555556,0,0,20,3,1.3333,0
data_prop,180,,2,2,0,7,12,1,0,7,2,1,110,1,0,0.833333333,1,0,0,51.5,1,0.5,0
data_prop,181,,6,2,0,24,55,0,2,23,2,0.64,291,1,1,0.791666667,0.333333333,1,3,46.66666667,5,2.3333,1
data_prop,182,,18,1,0,19,77,147,5,14,6,0.862745098,596,1,3,0,0.234567901,0,0,31.94444444,8,2.6667,1
data_prop,183,,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
data_prop,184,,3,2,0,11,15,3,4,7,3,2,93,0,0,0.75,0.555555556,0,0,30,4,1.6667,0
data_prop,185,,4,1,0,5,18,4,1,4,2,1.142857143,128,1,2,0,0.5,0,0,29.25,2,1.25,0
data_prop,186,,5,1,0,4,5,10,3,1,5,2,5,0,0,0,0.9,0,0,0,1,1,0
data_prop,187,,15,1,0,13,42,41,0,13,15,0.846938776,221,0.857142857,6,0,0.2,0,0,13.26666667,5,1.3333,0
data_prop,188,,23,1,0,16,23,253,9,8,23,2,23,0,0,0,0.293478261,0,0,0,1,1,0
data_prop,189,,4,1,0,9,35,4,1,8,2,1.308641975,300,1,2,0,0.4375,0,0,67.25,5,2.25,1
data_prop,190,,2,2,0,7,11,1,0,7,2,1,46,1,0,0.833333333,1,0,0,20.5,1,0.5,0
data_prop,191,,33,1,0,15,77,344,7,11,32,0.883522727,564,1,1,0,0.157575758,1,1,15.75757576,5,1.3636,1
data_prop,192,,5,1,0,39,18,0,36,3,3,0.25,75,1,1,0,0.25,0,0,13.6,4,1.6,0
data_prop,193,,6,1,0,1,13,15,1,0,5,2,385,0,0,0,0.458333333,0,0,63.16666667,47,9,0
data_prop,194,,5,3,0,8,31,10,0,8,3,1.25,135,1,0,0.862068966,0.4,2,2,25.8,1,0.8,0
data_prop,195,,6,2,0,2,14,11,1,1,4,0.8,105,0.4,4,0.764705882,0.4,1,1,15.66666667,3,1,0
data_prop,196,,13,2,0,9,19,78,0,9,13,2,65,0,0,0.586206897,1,1,3,4,1,0.9231,0
data_prop,197,,4,2,0,11,29,2,0,11,1,1.214285714,247,1,1,0.857142857,0.583333333,1,1,57.25,8,2.25,1
data_prop,198,,4,1,0,18,44,4,1,17,3,0.666666667,221,1,1,0,375,0,0,54,4,1.5,0
data_prop,199,,20,1,0,6,42,118,4,3,20,0.810526316,264,1,1,0,0.188888889,1,1,11.95,7,1.45,0
data_prop,200,,5,1,0,7,21,6,1,6,4,1.083333333,148,1,3,0,0.533333333,0,0,26.8,3,1.2,0
data_prop,201,,2,2,0,7,11,1,0,7,2,1,35,1,0,0.833333333,1,0,0,16,1,0.5,0
data_prop,202,,2,2,0,5,9,1,1,4,1,2,49,0,0,0.909090909,0.75,1,1,23.5,1,0.5,1
data_prop,203,,3,2,0,8,14,3,1,7,3,2,103,0,0,0.75,0.555555556,0,0,33.33333333,6,2.3333,0
data_prop,204,,23,1,0,11,23,253,1,10,23,2,23,0,0,0,0.255434783,0,0,0,1,1,0
data_prop,205,,3,1,0,3,3,3,1,2,3,2,3,0,0,0,0.466666667,0,0,0,1,1,0
data_prop,206,,4,1,0,6,4,6,5,1,4,2,4,0,0,0,0.6875,0,0,0,1,1,0
data_prop,207,,2,1,0,5,2,1,4,1,2,2,2,0,0,0,0.666666667,0,0,0,1,1,0
data_prop,208,,22,1,0,25,86,167,0,25,19,0.869047619,464,1,7,0,0.142857143,0,0,19.72727273,4,1.3636,1
data_prop,209,,6,2,0,2,14,11,1,1,4,0.8,105,0.4,4,0.764705882,0.4,1,1,15.66666667,3,1,0
data_prop,210,,8,1,0,8,8,28,6,2,8,2,8,0,0,0,0.321428571,0,0,0,1,1,0
data_prop,211,,15,1,0,3,21,63,3,1,15,0.828571429,152,1,1,0,0.238095238,1,1,8.8,7,1.4,0
data_prop,212,,14,1,0,17,49,73,1,16,11,0.802197802,309,1,7,0,0.17032967,0,0,20.57142857,7,1.7857,0
data_prop,213,,5,2,0,13,32,2,0,13,1,0.75,163,1,1,0.8,625,1,1,31,1,0.6,0
data_prop,214,,3,2,0,8,14,3,1,7,3,2,52,0,0,0.75,0.555555556,0,0,16.33333333,2,1,0
data_prop,215,,4,1,0,5,4,6,5,0,4,2,4,0,0,0,0.833333333,0,0,0,1,1,0
data_prop,216,,6,2,0,2,14,11,1,1,4,0.833333333,117,0.333333333,5,0.764705882,0.4,1,1,17.5,3,1,0
data_prop,217,,12,1,0,20,16,36,20,1,12,0.795454545,122,1,1,0,0.316666667,1,1,8.833333333,7,1.4167,0
data_prop,218,,11,1,0,7,53,31,0,7,6,775,285,1,0,0,225,0,0,24.54545455,7,1.6364,0
data_prop,219,,20,1,0,19,52,126,0,19,20,0.888157895,264,1,8,0,0.142857143,0,0,11.8,4,1.25,0
