name,version,package_name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
xerces,1.3.0,org.w3c.dom.html.HTMLParagraphElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.wml.WMLMetaElement,10,1,0,2,10,45,1,1,10,2,10,0,0,0,0.5,0,0,0,1,1,0
xerces,1.3.0,org.w3c.dom.html.HTMLObjectElement,35,1,0,0,35,595,0,0,35,2,35,0,0,0,0.371428571,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.dom.AttrImpl,38,2,2,16,102,417,9,10,24,0.817567568,1440,0.75,1,0.556962025,0.174174174,1,16,36.78947368,16,2.7368,0
xerces,1.3.0,org.w3c.dom.html.HTMLDocument,19,1,0,0,19,171,0,0,19,2,19,0,0,0,0.438596491,0,0,0,1,1,0
xerces,1.3.0,org.w3c.dom.CharacterData,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.666666667,0,0,0,1,1,0
xerces,1.3.0,org.apache.wml.dom.WMLDoElementImpl,15,4,0,3,18,105,0,3,15,2,83,0,0,0.854166667,0.533333333,1,6,4.533333333,1,0.9333,0
xerces,1.3.0,org.apache.wml.WMLStrongElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.readers.UTF8Reader,41,2,0,13,75,0,1,12,22,0.608823529,7463,0.882352941,3,0.152173913,0.170833333,1,4,180.6097561,2,1.0488,0
xerces,1.3.0,org.apache.xerces.validators.schema.identity.Key,3,2,0,5,4,1,4,1,3,0.5,16,1,0,0.8,0.666666667,0,0,4,1,0.6667,0
xerces,1.3.0,org.apache.html.dom.HTMLAppletElementImpl,23,4,0,2,26,253,0,2,23,2,127,0,0,0.810344828,0.52173913,0,0,4.52173913,1,0.9565,0
xerces,1.3.0,org.xml.sax.XMLFilter,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.validators.datatype.QNameDatatypeValidator,9,2,0,6,34,30,1,5,7,0.669117647,721,1,2,0.363636364,0.285714286,0,0,77.22222222,1,0.7778,1
xerces,1.3.0,org.xml.sax.XMLReader,14,1,0,0,14,91,0,0,14,2,14,0,0,0,0.206349206,0,0,0,1,1,0
xerces,1.3.0,org.xml.sax.helpers.XMLReaderFactory,3,1,0,0,14,3,0,0,2,2,102,0,0,0,0.333333333,0,0,33,1,0.6667,0
xerces,1.3.0,org.apache.html.dom.HTMLCollectionImpl,9,1,0,9,22,18,7,2,3,1.028846154,366,0.153846154,1,0,0.317460317,0,0,38.22222222,17,4.6667,0
xerces,1.3.0,org.apache.xerces.framework.XMLDocumentScanner,47,1,0,23,111,677,7,17,18,0.944317315,2575,0.070175439,15,0,0.150724638,0,0,52.57446809,2,1.0426,1
xerces,1.3.0,org.apache.xerces.dom.DeferredNode,1,1,0,16,1,0,16,0,1,2,1,0,0,0,1,0,0,0,1,1,2
xerces,1.3.0,org.apache.html.dom.HTMLBaseElementImpl,5,4,0,2,8,10,0,2,5,2,28,0,0,0.959183673,0.6,0,0,4.6,1,0.8,0
xerces,1.3.0,org.xml.sax.DocumentHandler,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.354166667,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.dom.DeferredNotationImpl,3,3,0,5,12,0,1,5,1,0.75,59,0.5,0,0.961538462,0.555555556,2,3,18,1,0.6667,2
xerces,1.3.0,org.xml.sax.DTDHandler,2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0
xerces,1.3.0,org.apache.wml.WMLEmElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.validators.datatype.DecimalDatatypeValidator,14,2,0,9,52,75,3,6,8,0.757692308,1409,1,3,0.25,0.18452381,0,0,98.21428571,4,1.0714,0
xerces,1.3.0,org.w3c.dom.html.HTMLOptGroupElement,4,1,0,0,4,6,0,0,4,2,4,0,0,0,0.5,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.dom.CommentImpl,3,3,1,3,4,3,2,2,3,1.5,13,0,0,0.964285714,0.555555556,1,4,3,1,0.6667,0
xerces,1.3.0,org.apache.xerces.dom.DeferredTextImpl,3,4,0,4,9,0,1,4,1,0.75,44,0.5,0,0.967741935,0.555555556,3,12,13,2,1,2
xerces,1.3.0,org.apache.wml.dom.WMLImgElementImpl,23,4,0,3,26,253,0,3,23,2,127,0,0,0.788461538,0.52173913,1,6,4.52173913,1,0.9565,0
xerces,1.3.0,org.apache.wml.dom.WMLTableElementImpl,13,4,0,3,18,78,0,3,13,2,73,0,0,0.872340426,0.403846154,1,6,4.615384615,1,0.9231,0
xerces,1.3.0,javax.xml.parsers.FactoryConfigurationError,6,3,0,0,10,0,0,0,6,0,50,1,0,0.894736842,0.555555556,1,1,7.166666667,3,0.6667,0
xerces,1.3.0,org.w3c.dom.html.HTMLParamElement,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.html.dom.HTMLImageElementImpl,27,4,0,2,33,351,0,2,27,2,151,0,0,0.783333333,0.388888889,0,0,4.592592593,1,0.963,0
xerces,1.3.0,org.apache.xerces.readers.XMLDeclRecognizer,5,1,3,12,15,8,7,9,3,0.75,191,1,0,0,0.333333333,0,0,36.6,1,0.6,0
xerces,1.3.0,org.apache.wml.dom.WMLBigElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,0
xerces,1.3.0,org.w3c.dom.html.HTMLQuoteElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.w3c.dom.html.HTMLLinkElement,18,1,0,0,18,153,0,0,18,2,18,0,0,0,0.5,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.dom.events.MutationEventImpl,7,2,0,7,9,1,6,1,7,0.972222222,70,0,1,0.6,0.314285714,0,0,7.285714286,1,0.8571,0
xerces,1.3.0,org.apache.wml.dom.WMLBElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,0
xerces,1.3.0,org.apache.xerces.validators.common.CMStateSet,12,1,0,7,18,0,6,1,3,0.054545455,517,0,0,0,0.416666667,1,1,41.66666667,7,2.75,0
xerces,1.3.0,org.apache.xerces.validators.common.XMLAttributeDecl,6,1,0,8,12,3,6,2,6,1,114,0,2,0,0.5,1,1,13.33333333,1,0.6667,0
xerces,1.3.0,org.xml.sax.SAXNotSupportedException,1,4,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,0
xerces,1.3.0,org.apache.html.dom.HTMLBaseFontElementImpl,7,4,0,2,11,21,0,2,7,2,43,0,0,0.94,0.571428571,0,0,5.142857143,1,0.8571,0
xerces,1.3.0,org.apache.xml.serialize.HTMLSerializer,17,2,1,7,79,102,2,5,10,0.5625,1190,0.5,0,0.835820896,0.210227273,1,8,68.88235294,37,7.4706,0
xerces,1.3.0,org.w3c.dom.html.HTMLHeadElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.w3c.dom.DOMException,1,4,0,0,2,0,0,0,1,2,24,0,0,1,1,0,0,7,0,0,0
xerces,1.3.0,org.apache.html.dom.HTMLDocumentImpl,34,3,0,59,83,541,55,9,29,0.96969697,1017,0.8,5,0.733333333,0.284848485,2,4,28.61764706,7,2.2059,0
xerces,1.3.0,org.apache.xerces.framework.XMLErrorReporter,2,1,0,22,2,1,22,0,2,2,5,0,0,0,0.6,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.validators.schema.SchemaSymbols,1,1,0,0,2,0,0,0,1,2,132,0,0,0,1,0,0,3,0,0,1
xerces,1.3.0,org.w3c.dom.html.HTMLFontElement,6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.apache.wml.WMLTemplateElement,6,1,0,2,6,15,1,1,6,2,6,0,0,0,0.75,0,0,0,1,1,0
xerces,1.3.0,org.w3c.dom.events.EventTarget,3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0
xerces,1.3.0,org.w3c.dom.html.HTMLTableRowElement,15,1,0,0,15,105,0,0,15,2,15,0,0,0,0.488888889,0,0,0,1,1,0
xerces,1.3.0,org.apache.wml.dom.WMLPrevElementImpl,5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488372,0.6,1,4,4.6,1,0.8,0
xerces,1.3.0,org.apache.xerces.msg.ExceptionMessagesLocalizer,2,1,0,0,17,1,0,0,2,2,103,0,0,0,0.5,0,0,50,10,5,0
xerces,1.3.0,org.apache.html.dom.HTMLParamElementImpl,9,4,0,2,13,36,0,2,9,2,52,0,0,0.921568627,0.555555556,1,1,4.777777778,1,0.8889,0
xerces,1.3.0,org.w3c.dom.html.HTMLLabelElement,5,1,0,0,5,10,0,0,5,2,5,0,0,0,0.7,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.dom.CharacterDataImpl,14,3,3,9,41,17,3,6,11,0.717948718,335,0.666666667,1,0.806451613,0.480769231,1,2,22.71428571,6,1.5714,0
xerces,1.3.0,org.apache.xml.serialize.Serializer,6,1,0,5,6,15,3,2,6,2,6,0,0,0,0.375,0,0,0,1,1,0
xerces,1.3.0,org.w3c.dom.html.HTMLInputElement,38,1,0,0,38,703,0,0,38,2,38,0,0,0,0.355263158,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.utils.XMLMessageProvider,3,1,0,5,3,3,5,0,3,2,3,0,0,0,0.583333333,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.utils.StringPool,30,1,0,60,50,67,57,4,26,0.829022989,2121,0.916666667,2,0,0.338888889,0,0,68.9,9,3.1667,0
xerces,1.3.0,org.apache.xerces.utils.regex.ParserForXMLSchema,39,2,0,10,72,277,1,9,2,1,804,1,0,0.571428571,0.184210526,1,12,19.46153846,12,1.5641,1
xerces,1.3.0,org.apache.xerces.jaxp.DocumentBuilderFactoryImpl,4,2,0,1,9,6,0,1,4,2,25,0,0,0.884615385,0.583333333,0,0,5.25,1,0.75,3
xerces,1.3.0,org.xml.sax.ErrorHandler,3,1,0,0,3,3,0,0,3,2,3,0,0,0,1,0,0,0,1,1,0
xerces,1.3.0,org.apache.xerces.readers.XMLCatalogHandler,11,1,1,1,18,15,1,0,11,0.5,102,1,0,0,0.431818182,0,0,8.090909091,1,0.9091,0
xerces,1.3.0,org.apache.xerces.utils.IntStack,8,1,0,2,14,0,2,0,7,0.357142857,144,1,0,0,0.625,0,0,16.75,4,1.375,0
xerces,1.3.0,org.apache.xerces.msg.SchemaMessages,3,3,0,0,4,1,0,0,2,0.5,481,0,0,0.974358974,1,0,0,159,1,0.3333,4
xerces,1.3.0,javax.xml.parsers.ParserConfigurationException,2,3,0,0,4,1,0,0,2,2,9,0,0,1,0.75,0,0,3.5,0,0,0
synapse,1,org.apache.synapse.config.xml.RMSequenceMediatorSerializer,6,2,0,12,30,13,0,12,3,0.866666667,167,0.333333333,0,0.6,0.4,1,2,26.33333333,11,2.5,0
synapse,1,org.apache.synapse.registry.Registry,8,1,0,10,8,28,7,3,8,2,8,0,0,0,0.4375,0,0,0,1,1,0
synapse,1,org.apache.synapse.endpoints.algorithms.RoundRobin,3,1,0,6,7,0,3,3,3,0.25,76,1,0,0,0.555555556,0,0,23.66666667,4,1.6667,0
synapse,1,org.apache.synapse.core.axis2.ProxyService,54,1,0,34,136,1269,8,28,50,0.959468903,806,0.925925926,4,0,0.119013062,0,0,13.42592593,23,1.3704,0
synapse,1,org.apache.synapse.config.xml.SynapseMediatorSerializer,6,3,0,10,23,13,0,10,3,0.866666667,87,0.333333333,0,0.692307692,0.4,1,2,13,3,1.1667,0
synapse,1,org.apache.synapse.config.xml.HeaderMediatorSerializer,6,2,0,12,34,13,0,12,3,0.866666667,190,0.333333333,0,0.6,0.4,1,2,30.16666667,10,2.3333,0
synapse,1,org.apache.synapse.core.axis2.SynapseCallbackReceiver,7,1,0,34,96,9,2,32,3,0.833333333,527,0.75,0,0,0.361111111,0,0,73.71428571,20,4.2857,1
synapse,1.2,org.apache.synapse.endpoints.LoadbalanceEndpoint,15,1,0,18,52,37,3,15,14,0.75,271,1,4,0,0.255102041,0,0,16.53333333,13,2.0667,1
synapse,1.2,org.apache.synapse.util.concurrent.SynapseThreadPool,3,3,0,2,8,3,1,1,3,1.5,60,0,0,1,0.555555556,0,0,15,0,0,0
synapse,1.2,org.apache.synapse.mediators.AbstractMediator,15,1,18,23,33,7,18,5,5,0.476190476,229,1,0,0,0.380952381,0,0,14.06666667,4,2.3333,4
synapse,1.2,org.apache.synapse.config.xml.AnonymousListMediatorFactory,2,3,0,6,5,1,2,4,2,2,14,0,0,0.8,0.5,0,0,6,1,0.5,0
synapse,1.2,org.apache.synapse.endpoints.algorithms.LoadbalanceAlgorithm,2,1,0,11,2,1,8,3,2,2,2,0,0,0,0.833333333,0,0,0,1,1,1
synapse,1.2,org.apache.synapse.config.xml.ClassMediatorFactory,4,2,0,8,29,4,0,8,3,0.666666667,141,1,0,0.6,0.666666667,0,0,34,6,1.75,0
synapse,1.2,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointFactory,4,2,0,7,19,4,1,7,1,0.666666667,78,1,1,0.818181818,0.444444444,1,1,18.25,5,1.5,4
synapse,1.2,org.apache.synapse.util.WrappedTextNodeStreamReader,51,1,0,4,71,1025,1,3,47,0.86,481,1,0,0,0.236666667,0,0,8.274509804,3,1.2157,0
synapse,1.2,org.apache.synapse.endpoints.dispatch.DispatcherContext,14,1,0,14,46,0,5,9,9,0.730769231,544,1,0,0,0.285714286,0,0,37.28571429,8,3.2857,0
synapse,1.2,org.apache.synapse.util.UUIDGenerator,4,1,0,4,31,0,4,0,2,0.5,179,1,0,0,0.333333333,0,0,42.75,4,2,0
synapse,1.2,org.apache.synapse.config.xml.AbstractDBMediatorSerializer,2,2,2,16,30,1,2,14,1,2,373,0,0,0.857142857,0.666666667,0,0,185.5,25,12.5,0
synapse,1.2,org.apache.synapse.endpoints.SALoadbalanceEndpoint,17,1,0,23,77,34,4,19,15,0.848214286,673,0.714285714,6,0,0.2421875,0,0,37.76470588,30,3.4118,0
synapse,1.2,org.apache.synapse.config.xml.HeaderMediatorSerializer,3,2,0,10,25,3,0,10,3,2,139,0,0,0.75,0.555555556,0,0,45.33333333,10,3.6667,0
synapse,1.2,org.apache.synapse.core.SynapseEnvironment,10,1,0,33,10,45,30,5,10,2,10,0,0,0,0.283333333,0,0,0,1,1,0
synapse,1.2,org.apache.synapse.mediators.transform.XSLTMediator,20,2,0,31,107,104,3,29,14,0.872807018,844,0.833333333,1,0.40625,0.185,0,0,40.6,39,3.5,6
synapse,1.2,org.apache.synapse.registry.url.SimpleURLRegistry,15,2,0,12,73,67,0,12,11,0.761904762,609,1,0,0.277777778,0.276785714,2,3,39.4,9,2.4,0
synapse,1.2,org.apache.synapse.config.xml.ClassMediatorSerializer,3,2,0,8,24,3,0,8,3,2,114,0,0,0.75,0.555555556,0,0,37,7,2.6667,0
synapse,1.2,org.apache.synapse.mediators.builtin.RMSequenceMediator,17,2,0,14,58,100,2,12,11,0.90625,444,1,2,0.464285714,0.3,0,0,24.64705882,12,2.0588,2
synapse,1.2,org.apache.synapse.config.xml.CalloutMediatorSerializer,3,2,0,11,25,3,0,11,3,2,156,0,0,0.75,0.555555556,0,0,51,12,4.3333,0
synapse,1.2,org.apache.synapse.config.xml.OutMediatorSerializer,3,3,0,7,15,3,0,7,3,2,46,0,0,0.777777778,0.555555556,0,0,14.33333333,3,1.3333,0
synapse,1.2,org.apache.synapse.mediators.db.DBLookupMediator,2,3,0,5,30,1,3,3,1,2,183,0,0,0.962962963,0.666666667,2,5,90.5,9,4.5,1
synapse,1.2,org.apache.synapse.endpoints.AddressEndpoint,5,3,0,20,51,0,4,16,5,0,319,1,1,0.818181818,0.666666667,2,3,62.6,23,6.4,1
synapse,1.2,org.apache.synapse.registry.Registry,12,1,0,10,12,66,7,3,12,2,12,0,0,0,0.285714286,0,0,0,1,1,0
synapse,1.2,org.apache.synapse.mediators.AbstractListMediator,10,2,7,14,35,0,7,7,10,0,176,1,0,0.590909091,0.283333333,0,0,16.5,3,1.5,2
synapse,1.2,org.apache.synapse.core.axis2.ProxyServiceMessageReceiver,8,2,0,21,64,0,1,21,4,0.535714286,570,1,1,0.333333333,0.404761905,1,2,69.75,4,1.625,0
synapse,1.2,org.apache.synapse.config.xml.ConfigurationFactory,3,1,0,4,3,3,2,2,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0
synapse,1.2,org.apache.synapse.core.axis2.Axis2FlexibleMEPClient,9,1,0,38,102,30,1,37,3,0.625,620,1,0,0,0.196428571,0,0,67.77777778,6,2.2222,9
synapse,1.2,org.apache.synapse.mediators.builtin.ValidateMediator,11,3,0,18,71,1,3,16,9,0.814285714,542,0.857142857,1,0.6875,0.303030303,1,3,47.63636364,16,2.7273,1
synapse,1.2,org.apache.synapse.config.xml.XMLConfigurationSerializer,3,1,0,5,8,1,0,5,2,0.5,21,1,0,0,0.5,0,0,5.666666667,1,0.3333,0
synapse,1.2,org.apache.synapse.endpoints.EndpointContext,12,1,0,12,37,2,5,7,8,0.772727273,319,1,0,0,0.25974026,0,0,24.75,7,2.5833,1
synapse,1.2,org.apache.synapse.config.Entry,26,1,0,17,31,245,13,4,24,0.943333333,193,0.666666667,1,0,0.194285714,0,0,5.961538462,4,1.3462,0
synapse,1.2,org.apache.synapse.config.xml.ResourceMapFactory,4,1,0,7,16,4,1,6,2,0.333333333,76,1,0,0,0.333333333,0,0,17.75,5,1.5,1
synapse,1.2,org.apache.synapse.config.xml.ValidateMediatorSerializer,3,3,0,13,28,3,0,13,3,2,142,0,0,0.777777778,0.555555556,0,0,46.33333333,9,3.3333,0
synapse,1.2,org.apache.synapse.util.PayloadHelper,23,1,0,18,70,143,2,17,22,0.878787879,537,0,0,0,0.181818182,0,0,21.95652174,5,2.2174,0
synapse,1.2,org.apache.synapse.config.xml.ProxyServiceFactory,5,1,0,14,67,0,1,13,2,0.25,695,1,0,0,0.3125,0,0,137.8,50,10.4,0
synapse,1.2,org.apache.synapse.endpoints.utils.EndpointDefinition,43,1,0,18,44,781,18,0,43,0.953514739,274,1,0,0,0.297674419,0,0,4.88372093,1,0.9767,0
synapse,1.2,org.apache.synapse.config.xml.SynapseXMLConfigurationFactory,15,1,0,28,84,99,0,28,6,0.357142857,507,1,0,0,0.314285714,0,0,32.73333333,19,2.6,2
synapse,1.2,org.apache.synapse.util.xpath.SynapseXPath,6,3,0,71,45,13,50,21,3,0.9,219,1,0,0.870967742,0.366666667,2,5,35.16666667,8,2.1667,1
synapse,1.2,org.apache.synapse.config.xml.SynapseMediatorSerializer,3,3,0,7,15,3,0,7,3,2,46,0,0,0.777777778,0.555555556,0,0,14.33333333,3,1.3333,0
synapse,1.2,org.apache.synapse.core.axis2.ResourceMap,5,1,0,13,26,0,7,6,4,0.5,151,1,0,0,0.583333333,0,0,28.8,5,1.4,2
synapse,1.2,org.apache.synapse.endpoints.dispatch.SoapSessionDispatcher,6,1,0,12,22,3,2,10,5,0.4,194,1,0,0,0.6,0,0,31,9,3.3333,0
synapse,1.2,org.apache.synapse.mediators.base.SequenceMediator,16,3,0,34,52,60,24,12,16,0.828571429,428,1,0,0.594594595,0.25,1,4,25.3125,29,2.8125,2
synapse,1.2,org.apache.synapse.startup.Task,1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0
synapse,1.2,org.apache.synapse.config.xml.LogMediatorFactory,4,2,0,6,16,2,0,6,3,1.047619048,97,1,0,0.6,0.666666667,0,0,21.5,7,2,0
synapse,1.2,org.apache.synapse.mediators.transform.FaultMediator,28,2,0,31,106,216,2,29,20,0.877492877,828,0.692307692,3,0.325,0.203571429,0,0,28.10714286,17,3.2143,3
synapse,1.2,org.apache.synapse.config.xml.AnnotatedCommandMediatorFactory,4,2,0,10,29,4,0,10,3,0.666666667,133,1,0,0.6,0.666666667,0,0,32,6,1.75,0
synapse,1.2,org.apache.synapse.core.axis2.DynamicAxisOperation,3,5,0,6,6,3,2,5,3,2,18,0,0,0.991150442,0.5,0,0,5,1,0.3333,0
synapse,1.2,org.apache.synapse.statistics.impl.ProxyServiceStatisticsStack,7,1,0,8,17,9,3,5,5,0.5,151,1,0,0,0.566666667,0,0,19.57142857,5,1.8571,0
synapse,1.2,org.apache.synapse.config.XMLToObjectMapper,1,1,0,10,1,0,9,1,1,2,1,0,0,0,1,0,0,0,1,1,0
synapse,1.2,org.apache.synapse.SynapseException,3,4,0,83,6,3,83,0,3,1.5,17,1,0,1,0.777777778,0,0,4.333333333,0,0,1
synapse,1.2,org.apache.synapse.config.xml.endpoints.DefaultEndpointSerializer,4,2,1,13,21,0,1,12,2,2,178,0,0,0.666666667,0.5,2,3,43.5,9,3.25,0
synapse,1.2,org.apache.synapse.metrics.MetricsAggregatorModule,6,1,0,10,13,15,0,10,6,2,35,0,0,0,0.361111111,0,0,4.833333333,1,0.8333,0
synapse,1.2,org.apache.synapse.startup.quartz.SimpleQuartzSerializer,3,1,0,11,35,1,0,11,2,0.625,200,1,0,0,0.666666667,0,0,64.33333333,11,3.6667,0
synapse,1.2,org.apache.synapse.core.axis2.SynapseMessageReceiver,5,1,1,21,47,0,2,19,2,0.25,242,1,0,0,0.5,0,0,47,4,1.6,0
synapse,1.2,org.apache.synapse.core.axis2.SynapseStartUpServlet,8,3,0,3,42,8,0,3,3,0.785714286,202,1,0,0.806451613,0.357142857,3,4,24,1,0.75,1
synapse,1.2,org.apache.synapse.mediators.annotations.ReadAndUpdate,1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0
synapse,1.2,org.apache.synapse.config.xml.FilterMediatorFactory,4,3,0,11,29,2,0,11,3,0.666666667,212,1,0,0.666666667,0.666666667,0,0,51.25,15,4,0
synapse,1.2,org.apache.synapse.core.axis2.AnonymousServiceFactory,6,1,0,17,32,11,1,16,2,1.044444444,242,0.777777778,1,0,0.333333333,0,0,37.83333333,13,2.8333,1
synapse,1.2,org.apache.synapse.mediators.MediatorWorker,5,1,0,7,18,0,1,6,3,0.5,153,1,2,0,0.5,0,0,28.8,4,1.6,0
synapse,1.2,org.apache.synapse.core.axis2.SOAPUtils,5,1,0,22,66,4,2,20,4,0.25,493,1,0,0,0.416666667,0,0,96.8,1,0.6,1
synapse,1.2,org.apache.synapse.mediators.annotations.Execute,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
synapse,1.2,org.apache.synapse.config.xml.ValidateMediatorFactory,4,3,0,9,29,2,0,9,3,0.666666667,218,1,0,0.666666667,0.666666667,0,0,52.75,16,4.25,0
synapse,1.2,org.apache.synapse.core.axis2.CustomURIResolver,3,1,0,5,7,1,1,4,3,0.5,40,1,2,0,0.5,0,0,11.66666667,3,1,1
synapse,1.2,org.apache.synapse.core.axis2.MessageContextCreatorForAxis2,5,1,0,12,10,0,3,9,4,0.583333333,46,1,2,0,0.25,0,0,7.6,1,0.6,0
synapse,1.2,org.apache.synapse.endpoints.FailoverEndpoint,11,1,0,16,45,11,3,13,10,0.616666667,250,1,3,0,0.316666667,0,0,21.18181818,14,2.3636,0
synapse,1.2,org.apache.synapse.config.xml.StartupFactory,3,1,0,4,3,3,2,2,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0
synapse,1.2,org.apache.synapse.util.xpath.SynapseXPathFunctionContext,2,1,0,6,7,0,1,5,2,0,36,1,1,0,0.625,0,0,16,1,0.5,0
